intron	mm	del	ins
7202	3421464	3239	0
7528	1004892	2678	200
21608	653995	3201	1816
46514	537368	2651	9601
81803	380541	2008	2215
86593	256182	1348	10566
107759	206245	1219	15607
88957	163114	1259	12462
88232	175866	1265	21012
105040	176413	1094	14559
127346	176262	1310	6242
108194	181249	1319	11902
102222	168803	1369	12192
106695	159758	1618	12993
105286	143658	1595	6377
108803	171456	1828	20266
105740	176269	1592	36815
107880	215760	1946	9050
112700	185657	1771	13791
107571	181678	2316	11100
107831	195711	2477	12381
110644	194400	3392	14918
107638	179704	4840	28003
108060	227691	4214	9286
112836	203300	3310	12386
110689	202260	5429	10911
111977	206395	6504	8450
113257	235132	6142	35533
110468	210481	6947	44818
109142	198839	7511	82776
113474	180455	3381	18355
109224	205238	3382	13543
109523	176880	3347	41343
112398	183660	3550	37592
108240	215628	3861	31800
110922	197497	3584	40227
115251	202915	3679	114692
110453	218453	3711	24402
111573	188086	3706	16834
114316	211427	3694	8285
111214	230692	3303	10369
111916	219723	3852	12747
113502	283369	3160	7389
110336	242311	3196	12470
111222	399575	3453	10010
112041	326818	3409	11988
111536	337863	3549	13629
111510	260053	9582	20600
115788	254905	5671	4937
110964	230188	3237	3907
111962	230336	8668	3635
113889	272696	7033	4121
111884	213337	3561	9125
112198	281934	3100	16494
111688	266289	2352	8582
109770	232570	2053	6564
110765	239038	1997	8998
115217	243701	1673	6769
109584	254938	1761	5592
108936	271595	2094	11434
113885	288014	1663	18961
111248	321337	2355	17057
111587	350050	1589	21421
111623	321622	1374	10473
109510	341415	1517	9964
110576	416248	1493	6317
111308	454442	1772	6592
109345	415269	1932	7886
105028	468198	1890	8403
101746	452871	2702	5198
81428	471899	4308	4487
71052	516421	8748	2958
34465	584244	37276	3584
36002	663375	53084	231
22346	939348	92395	15
0	1517990	0	0
