intron	mm	del	ins
0	20785	0	0
0	19349	0	0
0	18156	0	0
9	18086	17826	0
10	211029	13060	11786
13	207908	25223	15489
47	212867	14923	22273
74	217239	21202	20034
80058	238392	14458	21201
133574	231224	11904	18822
157899	245249	11373	16832
171375	225882	11639	15129
177793	240210	10891	14176
183830	228735	10924	14270
187501	237788	10842	15114
188407	241794	11590	15683
190014	246749	11526	15354
191744	247356	10968	15323
192467	260150	10954	15665
194030	250794	11649	15367
193007	251274	12783	15894
192747	296434	11184	16060
197059	295007	10884	16222
198870	297418	10873	16205
193973	290861	11157	16112
195192	279503	11319	17182
195035	280419	11061	16886
194823	292544	11393	16558
193994	305452	11526	16695
196330	308028	11007	16607
194991	310618	12363	16556
193557	323177	11737	15929
197952	339222	11571	16275
196370	337415	11028	16251
197237	372198	11735	16202
196971	385004	11887	16810
194564	403126	12536	17081
196180	416897	11126	16861
196339	417152	11883	16983
199598	395546	11050	16519
195529	385482	11288	16466
197516	404232	11433	16236
196880	409021	11780	16862
195966	431042	11136	17730
196944	424992	11069	17881
196445	435039	11462	16953
194819	464892	10847	16703
196328	466523	11688	17920
194130	493089	11809	16671
195478	493949	11779	16213
195332	515665	11214	16176
199353	525211	11391	15733
197744	543254	11168	16077
193603	569903	10932	15771
192944	581533	11270	16437
193725	603263	11340	16436
193628	603516	11004	15578
192151	619834	11321	15476
191277	651132	10856	14987
187779	674856	11443	14496
183831	698052	11517	13737
175025	730831	11021	14100
172186	764459	11552	14404
163952	794762	11235	14769
150360	814585	12280	15236
127599	806349	12376	17601
83066	828961	14299	20269
32	816346	21380	22744
22	766957	15620	20833
6	778577	26985	23448
3	797794	12695	17062
1	790841	19579	14151
1	20067	0	0
0	21323	0	0
0	22656	0	0
0	28236	0	0
