intron	mm	del	ins
59859	230077	6510	0
113840	226306	8214	0
160647	220474	9449	1
176360	211641	9513	1
181908	206083	9302	8
182595	202168	9485	26
184312	207269	9368	72
185584	212040	9230	225
185926	224586	9935	566
186254	218256	9989	1787
187109	228569	9456	8256
186418	210379	9562	10939
186574	222696	9291	12477
188809	211928	10246	13043
188842	220150	9379	13283
187765	223685	9423	15180
187578	227645	9944	14277
188635	227696	9555	12886
188624	239667	9481	12959
190036	230727	10149	12942
188129	231016	9908	12941
187402	273137	9421	12361
190872	270291	9366	11712
192401	272369	11370	9477
187425	267205	9884	8681
186388	258212	9127	10798
186655	254984	9508	11675
187588	264386	9503	11788
187068	276423	9898	12050
189689	278665	9659	11729
188413	280964	9565	11356
187262	292749	11353	11126
191121	307136	9469	11434
189539	305561	9476	11626
190658	337251	9390	11691
190043	349504	10343	12341
188032	366606	11175	13302
189765	380397	9696	12953
189888	380781	9839	13206
193020	362161	9318	12253
188922	352817	9610	11505
190962	370153	9389	11169
190571	375061	10024	11122
189419	396343	9123	12067
190102	391510	9664	12167
188865	401354	9916	11524
184741	429397	9899	11508
183294	432323	9082	12612
179754	461180	9974	10599
182234	471546	9508	9633
181776	449394	9358	7192
187428	458408	9380	8668
186883	475387	9201	9995
183187	502466	9051	10905
183949	514036	9680	11480
184968	533834	9378	11787
186781	536160	8873	11969
184942	552351	9239	11680
185865	582428	9578	11839
185354	605412	9677	11440
185700	631527	9205	11563
181510	665325	9481	11974
185078	699612	9758	11879
185105	730921	9404	11525
184069	762392	9843	9961
183853	761265	9702	7688
190035	795594	9347	1779
183723	795146	9719	559
181529	810300	9789	309
185881	840612	9246	108
182257	882190	9338	59
174779	911531	9366	4
163544	976011	8908	2
124170	995207	8502	2
80733	1064581	7033	0
0	1787523	0	0
