i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	57519463	59259544	59370505	25248220	26297810	26369739	1493186	1552241	1664732	697326	771306	853127
1	13531293	11907824	11804761	6738886	6358425	6328006	277043	221036	113295	164512	120603	71272
2	585613	473672	465874	3473636	2877747	2841168	12684	9647	4938	79512	52038	22068
3	11676	7507	7407	286160	218641	214097	105	94	53	7036	4561	2214
4	493	45	45	19293	14010	13640	0	0	0	431	311	140
5	54	0	0	733	351	334	0	0	0	4	2	0
6	0	0	0	55	0	0	0	0	0	0	0	0
7	0	0	0	1	0	0	0	0	0	0	0	0
