	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	1	0	3	3	4	3	7	6	4	1	9	7	10	8	7	10	7	7	7	5812
2	0	0	1	2	6	3	4	7	8	4	10	7	11	9	10	7	7	4	4	7	4219
3	0	0	1	4	7	5	1	6	6	5	5	11	3	4	3	10	2	9	8	4	2874
4	0	0	2	9	5	7	6	6	5	6	6	6	4	4	4	2	3	0	5	7	2134
5	0	0	1	3	3	2	2	3	2	10	1	5	4	5	4	7	7	4	4	7	1664
6	0	1	1	2	3	3	2	0	3	4	1	6	2	1	5	5	1	3	7	4	1619
7	0	1	0	2	1	7	3	7	3	8	5	4	4	4	5	3	2	2	4	3	1566
8	0	0	1	3	4	2	1	3	1	1	5	6	5	3	3	0	3	1	6	4	1510
9	0	0	2	0	4	5	0	2	1	6	1	5	3	5	4	1	2	7	2	3	1509
10	0	0	1	0	0	2	0	2	7	2	1	1	4	8	6	2	3	5	5	4	1435
11	0	1	3	1	1	7	4	3	4	2	6	3	5	0	4	2	1	8	2	3	1468
12	0	0	0	2	2	3	3	1	2	3	1	4	2	2	4	1	0	1	3	4	1374
13	0	0	2	1	1	4	1	3	3	6	4	3	0	0	4	4	2	3	9	4	1376
14	0	1	1	2	1	2	1	2	3	0	0	1	0	0	4	3	4	1	2	4	1492
15	0	0	0	0	1	0	1	3	1	0	3	6	4	3	3	1	2	2	2	4	1392
16	0	1	0	0	0	3	6	3	6	4	1	1	1	2	2	2	1	2	2	2	1299
17	0	0	1	1	0	2	1	2	2	2	3	2	2	1	3	4	3	6	4	1	1304
18	0	0	1	1	2	3	2	3	1	0	4	0	2	3	1	0	4	1	5	2	1333
19	0	1	1	1	1	2	3	3	2	0	0	0	3	6	5	4	0	2	0	3	1406
20	0	0	1	2	4	4	1	3	0	1	1	1	4	6	1	5	2	1	2	5	1319
21	0	3	2	0	2	0	2	2	2	2	1	0	4	5	1	2	3	2	0	2	1336
22	0	1	2	1	2	3	2	2	1	2	1	1	1	1	2	0	3	2	1	5	1294
23	0	2	1	1	4	6	0	3	3	2	4	1	1	2	3	1	1	1	1	1	1266
24	0	0	1	2	3	3	0	2	2	1	2	3	8	1	1	2	2	3	0	1	1174
25	0	3	0	3	3	2	4	5	2	1	2	4	2	1	3	3	3	4	4	10	1303
