i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	2098805	519383	114009	2178850	568811	121262	42739	45417	36533	50585	49749	42109
2	794905	198724	64377	784200	198908	48788	18811	13028	10773	12938	15889	12679
3	310372	83035	45378	296614	75841	37954	3930	4628	5438	5685	4846	5201
4	99920	30693	22873	59338	82276	2934	2809	4278	4259	663	1782	1007
5	36230	13615	19281	44344	47371	1363	226	344	893	323	709	235
6	8955	2648	13622	5316	6715	1319	247	204	826	490	949	460
7	3561	2257	374	2717	3031	429	113	128	149	0	0	82
8	970	542	478	416	788	99	0	0	62	36	66	206
9	217	154	534	248	260	100	4	5	37	0	0	52
10	70	55	72	0	0	6	0	0	36	0	0	0
11	11	16	22	2	3	17	0	0	8	0	0	1
12	36	42	68	0	0	145	0	0	26	0	0	3
13	0	2	29	0	0	3	0	0	18	0	0	2
14	72	49	37	14	25	11	0	2	19	0	0	1
15	0	0	18	0	0	9	0	0	7	0	0	0
16	6	13	17	0	0	8	0	0	10	0	0	0
17	0	0	16	0	0	2	0	0	3	0	0	0
18	0	0	41	0	0	13	0	0	7	0	0	0
19	0	0	0	0	0	3	0	0	0	0	0	0
20	0	0	0	0	0	1	0	0	0	0	0	0
21	0	0	0	0	0	7	0	0	0	0	0	0
22	0	0	0	0	0	1	0	0	0	0	0	0
23	0	0	0	0	0	14	0	0	0	0	0	0
24	0	0	0	0	0	2	0	0	0	0	0	0
25	0	0	0	0	0	1	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	2	0	0	0	0	0	0
28	0	0	0	0	0	1	0	0	0	0	0	0
29	0	0	0	0	0	1	0	0	0	0	0	0
30	0	0	0	0	0	2	0	0	0	0	0	0
