i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	62928319	67492089	67727761	27574457	30273629	30443347	1423133	1482350	1571755	746611	836879	910296
1	14723731	10400931	10193636	7367816	6466237	6376120	238359	185817	107059	148751	113395	63667
2	594324	360874	332739	3722210	2083442	2016935	28656	22000	11615	91294	47626	26797
3	11284	4037	3795	287300	138725	126492	417	397	136	16888	6580	3881
4	270	0	0	16956	7177	6323	0	1	0	1319	435	279
5	3	0	0	552	106	99	0	0	0	59	13	8
6	0	0	0	25	4	4	0	0	0	6	0	0
7	0	0	0	4	0	0	0	0	0	0	0	0
