i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	2008508	683322	268085	2051681	780800	383588	2822	11692	3817	2897	12617	4126
2	659769	360323	48922	651132	354391	67034	865	4511	130	783	5629	147
3	218032	181677	14276	212239	167143	27830	160	2096	26	188	3416	10
4	67432	69362	3799	64636	78362	14884	57	849	14	41	1020	2
5	17787	32206	1852	38723	53461	7771	13	409	1	0	563	1
6	3313	8490	88	3441	9700	3813	1	250	0	0	329	0
7	1779	4234	46	1609	3911	3338	0	46	0	0	228	0
8	472	1034	35	166	1094	1783	0	6	0	0	46	0
9	71	304	5	108	373	2391	0	5	0	0	27	0
10	21	104	13	0	0	1402	0	0	0	0	0	0
11	2	25	5	0	5	1111	0	0	0	0	0	0
12	10	68	0	0	0	2090	0	0	0	0	0	0
13	0	2	1	0	0	735	0	0	0	0	0	0
14	12	110	1	4	35	263	0	1	0	0	0	0
15	0	0	1	0	0	568	0	0	0	0	0	0
16	0	19	1	0	0	406	0	0	0	0	0	0
17	0	0	0	0	0	428	0	0	0	0	0	0
18	0	0	2	0	0	419	0	0	0	0	0	0
19	0	0	0	0	0	126	0	0	0	0	0	0
20	0	0	0	0	0	224	0	0	0	0	0	0
21	0	0	0	0	0	342	0	0	0	0	0	0
22	0	0	0	0	0	209	0	0	0	0	0	0
23	0	0	0	0	0	130	0	0	0	0	0	0
24	0	0	0	0	0	69	0	0	0	0	0	0
25	0	0	0	0	0	66	0	0	0	0	0	0
26	0	0	0	0	0	64	0	0	0	0	0	0
27	0	0	0	0	0	56	0	0	0	0	0	0
28	0	0	0	0	0	50	0	0	0	0	0	0
29	0	0	0	0	0	19	0	0	0	0	0	0
30	0	0	0	0	0	39	0	0	0	0	0	0
31	0	0	0	0	0	18	0	0	0	0	0	0
32	0	0	0	0	0	7	0	0	0	0	0	0
33	0	0	0	0	0	6	0	0	0	0	0	0
34	0	0	0	0	0	6	0	0	0	0	0	0
