	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	3	4	10	8	12	10	10	11	9	9	17	10	8	16	10	11	10	16	10	8134
2	0	1	5	8	6	8	10	10	3	8	9	9	11	8	6	10	4	9	9	16	5551
3	0	3	8	8	2	9	3	5	5	1	4	10	7	10	8	4	5	5	8	5	3240
4	0	1	1	4	2	4	4	2	2	6	1	1	9	4	11	6	3	5	1	4	2229
5	0	0	2	0	0	1	0	1	2	3	0	4	4	1	1	1	5	2	4	3	1642
6	0	2	1	0	1	1	7	2	1	4	0	2	5	1	4	2	0	2	2	1	1455
7	0	0	2	0	3	1	2	1	1	2	2	1	3	5	2	5	1	3	3	4	1361
8	0	0	0	3	1	2	1	2	0	0	1	0	2	2	2	1	1	2	5	3	1305
9	0	0	0	1	0	5	2	0	1	1	0	1	4	2	3	1	1	3	1	0	1296
10	0	0	0	0	0	0	0	5	1	2	1	2	3	2	4	1	3	4	3	1	1313
11	0	1	1	0	0	3	3	1	1	1	2	1	2	1	0	1	1	3	4	1	1263
12	0	0	1	0	0	2	2	1	2	1	0	3	1	0	1	1	2	1	2	1	1280
13	0	1	2	0	0	2	0	1	2	1	2	0	2	3	2	1	4	2	1	0	1245
14	0	0	0	1	1	0	0	2	2	4	1	1	0	4	4	3	1	7	0	2	1319
15	0	0	3	0	1	0	1	2	4	1	4	0	3	4	2	1	2	2	0	4	1324
16	0	0	1	2	0	0	2	2	1	1	2	1	1	2	2	3	1	1	2	3	1301
17	0	0	1	0	1	1	0	2	1	0	1	3	2	1	1	1	2	1	2	4	1264
18	0	0	1	1	0	3	2	5	1	1	1	1	1	4	2	4	1	0	2	3	1295
19	0	0	1	2	2	2	1	2	2	2	0	1	3	3	3	0	1	0	0	2	1285
20	0	1	2	0	0	2	0	2	2	0	2	1	1	5	5	3	5	2	1	1	1233
21	0	0	1	2	0	1	2	1	1	1	1	1	0	2	4	2	1	2	0	2	1186
22	0	0	1	0	2	0	0	1	1	2	1	1	1	3	3	0	0	2	2	4	1262
23	0	0	0	0	3	5	1	5	2	1	0	4	4	0	1	1	2	4	3	1	1250
24	0	0	1	3	0	2	2	0	1	2	2	0	6	2	4	1	0	5	1	2	1258
25	0	4	0	0	3	1	0	4	2	2	0	1	3	1	2	2	0	4	2	9	1303
26	0	1	1	0	3	5	3	2	1	1	3	7	1	2	2	2	1	0	1	2	1370
27	0	1	2	0	0	0	1	3	2	2	0	2	4	1	2	1	3	0	1	2	1294
28	0	0	0	1	0	1	1	1	1	1	2	5	7	3	1	0	0	1	4	2	1311
29	0	2	2	1	2	2	1	2	2	3	2	2	3	6	3	2	4	2	3	1	1453
30	0	0	2	1	2	2	2	3	3	2	1	0	3	2	0	1	2	4	1	4	1463
31	0	0	1	0	1	2	3	1	0	1	1	2	5	4	1	3	1	1	0	1	1415
32	0	1	0	0	0	1	2	2	0	1	0	0	4	2	2	2	2	1	2	0	1390
33	0	1	0	0	0	4	4	1	1	2	1	5	2	4	2	1	0	4	1	4	1317
34	0	1	2	2	3	2	3	1	1	0	1	3	0	2	1	1	2	5	3	2	1306
35	0	1	0	0	3	7	5	3	1	2	1	1	1	4	2	4	2	2	3	1	1246
36	0	0	1	2	3	1	1	0	0	3	2	0	2	11	1	1	5	2	0	3	1433
37	0	1	1	1	5	1	2	2	1	1	1	0	0	4	3	0	1	2	2	0	1226
38	0	1	1	0	0	0	3	2	1	1	2	0	3	1	0	1	1	3	3	4	1214
39	0	0	2	1	0	2	5	1	2	0	2	3	3	1	0	2	3	0	3	2	1281
40	0	2	1	3	1	1	2	1	1	3	0	4	0	2	1	1	2	5	4	2	1511
41	0	1	1	1	0	2	2	2	1	1	0	0	2	2	1	1	4	2	3	0	1374
42	0	1	1	0	1	3	1	1	2	2	1	0	0	2	2	2	1	4	3	1	1463
43	0	3	1	1	2	3	0	0	0	4	0	0	4	2	2	0	1	0	3	0	1394
44	0	1	0	0	1	1	1	2	0	1	1	0	1	1	4	5	4	2	1	2	1345
45	0	0	4	1	2	2	1	2	2	2	2	1	2	0	2	2	3	4	1	2	1324
46	0	0	3	3	1	5	2	1	2	2	2	1	3	4	2	2	2	2	3	2	1359
47	0	0	0	0	2	3	1	3	0	0	2	1	1	6	2	2	0	2	4	3	1447
48	0	0	1	4	3	1	1	1	1	4	2	1	1	3	5	0	2	4	0	0	1525
49	0	0	1	3	0	0	1	1	2	1	1	2	0	2	2	2	3	1	0	3	1387
50	0	0	0	1	3	0	3	3	0	0	3	0	1	3	1	0	0	4	2	0	1447
51	0	1	1	4	1	1	2	2	2	4	1	0	2	1	5	4	4	2	3	4	1516
52	0	0	1	0	3	3	1	1	0	2	4	1	1	5	4	4	0	4	2	3	1508
53	0	1	1	1	1	1	3	4	0	0	3	1	1	2	2	3	3	2	0	4	1506
54	0	0	1	5	0	1	1	0	1	3	2	1	1	2	2	1	4	4	2	2	1606
55	0	0	1	1	0	1	3	4	1	1	0	0	1	2	3	4	4	0	3	2	1468
56	0	0	2	1	1	2	6	2	0	2	4	0	1	3	4	10	1	1	1	3	1501
57	0	0	1	1	2	2	0	1	0	5	1	1	3	2	1	4	1	1	1	3	1470
58	0	0	1	0	1	1	2	0	2	0	3	3	2	2	2	2	1	2	0	1	1696
59	0	0	0	0	0	2	1	4	2	2	0	2	4	0	2	6	1	1	5	0	1566
60	0	0	0	1	0	0	0	1	2	4	0	1	1	0	3	5	2	1	3	4	1501
61	0	0	1	1	1	4	3	3	0	2	0	0	2	1	2	2	2	1	3	1	1566
62	0	0	0	0	2	2	0	3	0	1	3	1	0	7	5	2	3	1	5	2	1516
63	0	1	0	0	1	2	1	1	0	3	2	0	3	5	1	0	0	2	2	3	1579
64	0	2	0	0	1	2	0	2	0	5	1	0	1	2	4	1	3	3	1	4	1588
65	0	0	1	0	2	1	0	1	0	2	3	3	1	6	4	1	2	1	2	3	1587
66	0	0	0	2	1	2	0	4	3	3	0	3	0	3	4	1	2	2	3	2	1545
67	0	0	0	2	2	1	0	2	2	2	4	0	1	1	0	5	2	2	4	3	1493
68	0	0	1	1	1	3	3	1	3	3	1	4	2	3	1	2	0	2	2	1	1540
69	0	1	0	1	4	3	1	2	1	3	1	1	1	2	0	2	0	2	3	4	1571
70	0	1	2	0	2	0	1	2	2	1	1	2	0	1	1	3	1	2	5	2	1521
71	0	1	1	1	1	1	0	0	0	1	0	1	1	3	1	0	1	2	0	4	1711
72	0	2	2	2	1	3	0	3	0	1	6	3	0	2	3	1	0	0	3	3	1812
73	0	2	2	1	0	4	0	3	0	3	1	2	9	2	5	2	10	3	4	4	2183
74	0	0	3	3	2	1	0	3	4	5	6	3	0	2	3	4	3	3	0	3	2185
75	0	3	6	5	8	5	5	2	2	5	3	7	5	2	3	1	5	4	1	2	2276
