i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	1485945	1157766	73327	1542603	1237067	95431	32733	29900	27623	35260	33065	32669
2	545471	456044	26317	538496	451544	36224	14239	9714	8981	12947	8948	9126
3	201923	193221	10343	201669	173567	21547	4022	2799	2420	4758	2992	3482
4	66170	68471	2742	68711	73945	11898	998	2061	1762	678	725	1071
5	21522	28716	2000	54351	37944	8654	75	102	95	259	193	481
6	5129	6674	375	6181	6680	7683	136	115	93	209	400	672
7	2778	3135	59	2734	2979	5696	65	81	70	34	1	247
8	635	877	87	538	710	4620	0	0	2	26	32	183
9	158	222	23	347	161	3508	0	0	3	0	0	134
10	43	82	18	0	0	2251	0	0	5	0	0	214
11	7	20	4	1	4	1518	0	0	2	0	0	78
12	15	63	5	0	0	870	0	0	2	0	0	59
13	0	2	0	0	0	147	0	0	1	0	0	63
14	0	123	0	0	39	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0	19	0	0	0	0	0	0	0	0	0	0
