i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	57705208	58964219	59061069	25299386	26006518	26078245	1307441	1352039	1353535	646160	688077	689502
1	13755993	12654094	12567270	6865372	6749369	6707575	52343	8267	6771	38026	6343	5004
2	597692	450640	440667	3542372	3044612	3019310	605	90	90	10776	1041	955
3	11774	2254	2201	292761	210960	206564	7	0	0	435	25	25
4	493	7	7	19639	8828	8594	0	0	0	85	0	0
5	54	0	0	733	32	31	0	0	0	4	0	0
6	0	0	0	55	0	0	0	0	0	0	0	0
7	0	0	0	1	0	0	0	0	0	0	0	0
