i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	62897906	66717597	66924688	27582994	29819073	29976077	1453546	1511377	1511981	738074	810086	810760
1	14899598	11360628	11181717	7460061	6820365	6729390	62492	6101	5502	56506	4368	3739
2	621457	350657	322591	3794178	2373353	2318508	1523	206	201	19326	1233	1189
3	11578	1924	1810	302447	141015	130194	123	0	0	1741	70	69
4	270	6	6	18162	4656	4296	0	0	0	113	5	5
5	3	0	0	609	24	21	0	0	0	2	0	0
6	0	0	0	31	0	0	0	0	0	0	0	0
7	0	0	0	4	0	0	0	0	0	0	0	0
