i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	57423977	62154221	62189507	25230038	28032550	28057264	1588672	1745369	1805671	715508	821276	872379
1	13513945	9266633	9231970	6749603	6018568	6004737	294391	148337	88609	153795	101690	60146
2	585970	114914	114293	3479685	1672624	1662051	12327	1790	1216	73463	24136	14788
3	11693	346	344	288470	43582	43276	88	0	0	4726	629	421
4	475	0	0	19480	730	726	18	0	0	244	17	14
5	54	0	0	726	3	3	0	0	0	11	0	0
6	0	0	0	54	0	0	0	0	0	1	0	0
7	0	0	0	1	0	0	0	0	0	0	0	0
