i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	62475384	69609073	69692122	27487064	31941823	32004479	1876068	2103961	2179832	834004	981390	1047133
1	14558817	7970441	7889055	7313649	5676428	5635082	403273	190673	115858	202918	139695	84881
2	605909	72352	70694	3709899	1184460	1163891	17071	1913	857	103605	26766	16090
3	11573	82	77	296698	23009	22278	128	1	1	7490	418	166
4	262	0	0	18027	254	244	8	0	0	248	5	4
5	3	0	0	602	0	0	0	0	0	9	0	0
6	0	0	0	31	0	0	0	0	0	0	0	0
7	0	0	0	4	0	0	0	0	0	0	0	0
