i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	56801552	60306555	60364266	24946057	26943486	26987040	2211097	2393394	2460622	999489	1126936	1182593
1	13412368	10319006	10268330	6683287	6308401	6282949	395968	227055	160708	220111	154038	110496
2	581584	180094	173704	3458921	2068668	2053907	16713	3458	2578	94227	38658	26825
3	11651	2028	1385	286901	73708	70710	130	1	0	6295	742	460
4	493	19	17	19485	1158	818	0	0	0	239	0	0
5	54	0	0	727	10	7	0	0	0	10	0	0
6	0	0	0	52	0	0	0	0	0	3	0	0
7	0	0	0	1	0	0	0	0	0	0	0	0
