i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	1546487	1093499	61156	1461851	1329574	83292	25743	40615	24463	23511	33059	28510
2	586551	411790	25705	546307	449167	22443	10894	16233	18798	6566	9895	7124
3	225805	170108	13059	204449	174274	11258	3112	2940	2757	2423	1840	3715
4	0	137520	0	0	144037	0	0	180	0	0	22	0
5	0	50385	0	0	92747	0	0	30	0	0	0	0
6	0	12028	0	0	13470	0	0	26	0	0	0	0
7	0	6043	0	0	5748	0	0	16	0	0	0	0
8	0	1512	0	0	1306	0	0	0	0	0	0	0
9	0	380	0	0	508	0	0	0	0	0	0	0
10	0	125	0	0	0	0	0	0	0	0	0	0
11	0	27	0	0	5	0	0	0	0	0	0	0
12	0	78	0	0	0	0	0	0	0	0	0	0
13	0	2	0	0	0	0	0	0	0	0	0	0
14	0	123	0	0	39	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0	19	0	0	0	0	0	0	0	0	0	0
