i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	64291838	77216443	78928898	28267560	37374056	38970285	59614	211474	211474	53508	197574	205764
1	14821057	2520579	808124	7440637	2273076	784834	141033	0	0	75930	11631	3441
2	612767	0	0	3742305	117911	9924	10213	0	0	71199	0	0
3	11103	0	0	296303	0	0	598	0	0	7885	0	0
4	254	0	0	17655	0	0	16	0	0	620	0	0
5	3	0	0	554	0	0	0	0	0	57	0	0
6	0	0	0	26	0	0	0	0	0	5	0	0
7	0	0	0	3	0	0	0	0	0	1	0	0
