i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	375288	160419	15603	293789	150145	13420	4446	4722	3318	3128	3537	3022
2	126299	54870	3331	133269	49609	4745	1768	2222	1688	699	643	548
3	52966	21441	3784	44684	16847	4252	516	430	515	565	584	585
4	0	22626	0	0	22596	0	0	14	0	0	0	0
5	0	8725	0	0	5993	0	0	7	0	0	0	0
6	0	2120	0	0	2343	0	0	0	0	0	0	0
7	0	2560	0	0	1601	0	0	0	0	0	0	0
8	0	968	0	0	228	0	0	0	0	0	0	0
9	0	208	0	0	45	0	0	0	0	0	0	0
10	0	28	0	0	0	0	0	0	0	0	0	0
11	0	46	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	16	0	0	0	0	0	0	0	0	0	0
15	0	158	0	0	0	0	0	0	0	0	0	0
16	0	247	0	0	0	0	0	0	0	0	0	0
17	0	25	0	0	0	0	0	0	0	0	0	0
18	0	1	0	0	0	0	0	0	0	0	0	0
