i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	453629	89415	7187	247666	200682	3813	958	873	289	630	1621	32
2	149947	34976	1790	106537	77112	1412	10	226	25	78	493	10
3	64038	10959	3170	35358	26803	680	252	104	59	157	362	5
4	16839	5763	1484	11699	10613	578	1	37	1	1	283	18
5	7600	1120	173	2709	3246	96	7	5	2	0	38	0
6	1790	329	269	875	1468	26	0	1	0	0	0	1
7	1557	961	142	706	895	33	0	42	0	0	0	0
8	898	69	39	82	146	9	0	1	1	0	0	0
9	180	28	237	27	18	9	0	0	0	0	0	0
10	25	2	0	0	0	3	0	1	0	0	0	0
11	46	0	24	0	0	0	0	0	0	0	0	0
12	0	0	11	0	0	0	0	0	0	0	0	0
13	0	0	11	0	0	0	0	0	0	0	0	0
14	16	0	14	0	0	0	0	0	0	0	0	0
15	0	158	3	0	0	0	0	0	0	0	0	0
16	233	13	6	0	0	0	0	1	0	0	0	0
17	19	6	1	0	0	0	0	0	0	0	0	0
18	0	1	1	0	0	0	0	0	0	0	0	0
