i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	61902344	66437452	66548235	27196392	29851208	29936666	2449108	2649337	2752641	1124676	1260331	1345054
1	14494130	10404909	10311258	7269996	6582026	6532636	467960	284525	182915	246571	186513	121466
2	602529	166958	150018	3695673	1980478	1950013	20451	4025	2334	117831	50976	31746
3	11335	1269	1079	294706	60094	55460	366	8	5	9482	1123	677
4	260	13	11	17912	1494	526	10	0	0	363	0	0
5	3	0	0	592	5	4	0	0	0	19	0	0
6	0	0	0	31	0	0	0	0	0	0	0	0
7	0	0	0	3	0	0	0	0	0	1	0	0
