i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	57828340	60409661	60596689	25368948	26914724	27048940	1184309	1244184	1294200	576598	637461	676906
1	13651210	11221205	11067380	6815986	6304646	6238831	157126	106232	61839	87412	55844	30029
2	573929	428134	395594	3501009	2564810	2512429	24368	15606	10034	52139	29529	18203
3	11275	6260	5597	280477	189254	174628	506	287	236	12719	6754	4662
4	492	40	40	18367	11843	10485	1	1	1	1357	667	467
5	54	0	0	686	249	213	0	0	0	51	24	12
6	0	0	0	52	0	0	0	0	0	3	0	0
7	0	0	0	1	0	0	0	0	0	0	0	0
