	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	3	5	7	6	15	6	4	5	8	8	15	4	8	4	8	8	8	17	6	5710
2	0	1	5	6	6	6	12	6	6	5	9	7	16	9	5	5	10	9	12	9	6409
3	0	5	6	8	8	9	4	7	7	4	5	7	10	9	8	15	7	8	11	8	6672
4	0	2	5	9	4	9	7	7	6	9	20	7	12	10	9	9	4	6	10	7	6542
5	0	1	4	6	7	7	4	9	8	5	8	9	10	5	7	5	10	9	9	8	6774
6	0	4	3	0	4	8	13	8	14	12	6	5	11	8	10	8	7	8	13	6	7076
7	0	3	6	10	7	9	7	4	8	10	6	7	9	6	8	10	8	14	11	6	7167
8	0	3	13	11	7	9	5	14	3	4	10	12	7	8	5	4	6	8	14	10	7826
9	0	5	2	5	8	6	5	6	3	7	0	7	7	9	7	6	6	9	25	10	5882
10	0	3	2	4	8	1	3	7	5	6	1	1	6	8	6	2	6	6	6	2	4102
11	0	5	2	1	2	9	5	10	7	6	11	5	4	6	2	4	6	8	5	3	3421
12	0	2	3	1	5	1	5	2	2	3	3	6	7	2	4	3	11	2	4	4	3143
13	0	0	1	3	2	1	1	1	2	8	3	3	2	12	4	5	3	3	9	3	2864
14	0	2	1	3	4	0	2	4	3	4	2	3	2	1	3	3	2	6	2	4	2650
15	0	0	5	1	2	2	0	2	2	1	1	5	4	2	3	7	4	5	0	6	2390
16	0	1	1	2	1	1	3	4	4	4	3	2	3	1	4	2	4	7	1	13	2196
17	0	2	2	2	0	1	0	3	0	6	3	2	2	7	1	2	2	1	4	4	2141
18	0	0	3	2	2	7	5	7	1	3	5	3	2	3	6	3	2	1	3	2	2112
19	0	3	3	1	2	4	3	2	2	1	1	3	4	8	3	3	2	1	2	3	2100
20	0	2	2	0	4	1	3	4	4	1	1	4	0	4	2	1	5	3	1	5	2064
21	0	1	3	3	6	4	4	3	3	2	3	2	2	4	2	2	4	1	2	5	1988
22	0	1	0	4	2	0	2	0	1	5	1	1	4	7	1	0	1	0	5	5	2012
23	0	2	1	2	5	8	2	0	2	3	4	2	4	5	2	4	2	4	6	2	2090
24	0	2	4	3	0	4	2	1	1	2	3	2	5	1	3	1	5	3	3	2	2053
25	0	4	0	1	1	4	4	4	2	2	1	5	1	3	0	2	1	3	3	10	2149
26	0	3	3	1	5	6	3	2	3	2	1	4	1	5	2	3	4	1	4	6	2163
27	0	3	0	1	2	4	1	4	1	6	2	4	9	7	2	2	3	1	7	1	2196
28	0	0	3	5	2	3	4	4	1	4	3	4	6	6	1	2	2	1	4	3	2139
29	0	4	4	1	4	2	3	2	2	4	1	2	3	4	2	2	3	4	7	1	2478
30	0	1	0	6	2	3	3	3	2	2	2	1	3	4	0	3	2	6	4	8	2451
31	0	2	3	2	3	5	2	3	1	7	2	2	2	5	4	3	3	1	2	2	2186
32	0	1	2	2	1	2	5	0	4	5	2	1	6	2	3	0	4	4	4	0	2183
33	0	2	2	3	2	4	2	1	2	6	3	3	3	7	3	1	1	4	3	2	2083
34	0	3	1	5	3	3	2	0	2	1	5	1	2	6	3	6	2	3	4	2	2111
35	0	4	2	2	2	13	4	2	1	2	3	3	7	2	1	7	3	5	5	3	2065
36	0	0	3	1	5	2	3	4	0	7	5	4	5	13	2	4	4	4	4	3	2119
37	0	2	3	4	7	2	3	1	4	2	1	1	5	3	2	3	2	5	10	1	2074
38	0	0	1	0	1	4	4	3	1	2	2	5	3	4	1	5	3	4	8	4	2099
39	0	2	3	7	3	6	4	1	9	5	4	5	5	3	3	3	5	3	4	6	2099
40	0	4	3	1	4	3	1	1	0	5	4	2	4	3	4	2	3	2	8	1	2116
41	0	1	3	5	1	3	4	3	3	2	5	3	3	2	1	4	3	0	6	2	2156
42	0	3	3	1	2	1	3	2	5	4	4	1	2	0	1	5	2	6	5	7	2111
43	0	4	1	4	3	1	3	4	3	5	3	0	5	2	6	4	4	3	6	1	2108
44	0	4	2	0	4	1	3	2	2	4	1	1	4	2	3	6	4	7	5	3	2100
45	0	3	3	1	0	3	3	2	2	4	7	0	3	4	2	4	6	4	1	6	2103
46	0	1	5	4	2	7	1	4	2	2	0	6	5	6	4	3	1	2	4	3	2194
47	0	2	1	1	2	2	5	2	1	4	3	3	3	7	3	4	4	6	7	4	2158
48	0	1	6	3	4	3	1	3	1	4	6	4	3	4	1	1	5	4	1	1	2438
49	0	1	1	7	2	4	1	2	7	2	2	1	1	3	3	4	5	3	0	4	2160
50	0	1	1	7	2	1	4	2	0	2	3	1	6	4	2	1	2	4	5	0	2130
51	0	3	2	4	1	1	3	1	1	4	2	3	1	3	2	2	3	4	7	4	2279
