i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	1199209	1431898	38590	1103891	1655378	38511	18516	56721	15466	18668	70058	16915
2	447384	552774	22181	356767	627522	19036	6657	18653	5387	5724	21922	4785
3	175368	217190	14699	132627	239417	8887	2818	6589	1907	2298	8644	1206
4	57743	72553	3146	45402	96473	3869	1858	5546	1692	391	1793	332
5	18844	29824	2652	34392	56882	2554	485	1262	168	390	1083	131
6	4015	7396	412	3351	8525	1568	158	485	95	171	1423	491
7	2059	3606	187	1889	3716	129	122	272	52	60	83	5
8	582	896	51	218	979	290	10	24	3	18	91	12
9	55	308	30	147	344	3	8	9	1	4	13	0
10	31	86	4	0	0	0	4	4	1	0	0	0
11	5	22	2	0	5	0	0	0	0	0	0	1
12	7	68	1	0	0	0	3	0	0	0	0	0
13	0	2	0	0	0	0	0	0	3	0	0	0
14	16	98	0	0	38	0	1	8	0	0	1	0
15	0	0	0	0	0	1	0	0	0	0	0	0
16	0	19	0	0	0	0	0	0	0	0	0	0
