i	uni.mi.read.actual	uni.mi.read.reported	uni.mi.read.correct	uni.mi.pair.actual	uni.mi.pair.reported	uni.mi.pair.correct	amb.mi.read.actual	amb.mi.read.reported	amb.mi.read.correct	amb.mi.pair.actual	amb.mi.pair.reported	amb.mi.pair.correct
0	62718618	68023508	68170293	27458186	30629121	30732453	1632834	1656426	1801792	862882	955501	1068552
1	14694392	9647509	9509713	7319317	6177493	6121510	267698	245511	107191	197250	152213	75284
2	609359	358591	349765	3719087	1867862	1825266	13621	12233	5229	94417	51670	18501
3	11589	4616	4459	295289	128813	124411	112	94	54	8899	4305	1463
4	269	6	0	17872	6965	6623	1	2	0	403	185	78
5	3	0	0	587	109	100	0	0	0	24	5	1
6	0	0	0	27	6	6	0	0	0	4	0	0
7	0	0	0	4	0	0	0	0	0	0	0	0
